term,mean,std,min,max,sign_stable
const,3.2206733945533186,1.1704723172762377,2.1735484649559313,5.204428272236267,1
emp_rate,3.4424899846794177,0.7108240056988865,2.39024655241624,4.148527829846222,1
median_household_income,-2.597280319799136e-05,4.18805894753839e-06,-3.279693479236748e-05,-2.248182139920014e-05,1
month_10,0.1943481808196177,0.0065219836258809125,0.18373883591694884,0.19964878970583544,1
month_11,0.1555152822232084,0.007450311417347736,0.1505165757756668,0.16840703942914095,1
month_12,0.19714236766752458,0.0049978960518474785,0.1917274248558648,0.2034331247452273,1
month_2,0.02705432233738948,0.007164411349059229,0.015086388317892885,0.03217185913955828,1
month_3,0.07633601366874579,0.00692278620975695,0.06770869821152,0.08391737077797395,1
month_4,0.12029142020433192,0.0034738141290635654,0.1170453971435364,0.12575814656068723,1
month_5,0.1923615050179317,0.0036738327854413874,0.18770808147482299,0.19651842005727038,1
month_6,0.17442569431274063,0.0024345332064901622,0.17104018487437514,0.17749730005947775,1
month_7,0.11579184362167609,0.00907475892798908,0.10394316469429431,0.1252408077230172,1
month_8,0.1742255352641693,0.006638935810002574,0.16607485047038167,0.18434484239465831,1
month_9,0.10412297029996738,0.004302725617365155,0.10037174349269257,0.11086220056010429,1
share_older_55_plus,-7.438257023568258,1.3688349646105145,-9.580420000098496,-5.795333584566823,1
share_young_21_34,-4.041691398931195,1.1894202035356536,-6.006667412491407,-2.8506189750262254,1
stores_per_1k_21plus,0.31590603567090525,0.08846651887252581,0.23613703919093476,0.42279434896298246,1
year_c,0.011684146436769544,0.00822301068662072,0.0018061385992859842,0.023620550748654122,1
