fold,n_train,n_val,rmse_liters,rmse_log,mae_liters,r2_log
0,3792,960,0.20609506950843878,0.4815714130273015,0.1615069551435636,0.17175866257525674
1,3792,960,0.24971431809703298,0.5665858741784149,0.20417454132845053,0.1259488573447799
2,3792,960,0.2804395729853497,0.5317178505158475,0.2170045159470864,-0.06470032752352783
3,3792,960,0.4558563738134222,0.4967759804087323,0.24088074451044525,-0.27976880265211035
4,3840,912,0.2785373648580617,0.39706026510834136,0.20154506526715726,0.25605644317331333
