county_fips,county_name,mean_resid_log,mean_observed,mean_predicted,n_months,pop_21plus,z_score,flag
19051,DAVIS,-1.4609115970265494,0.10970815974037292,0.45300080702915735,48,6099.375,-3.049070176967162,LOW
19173,TAYLOR,-1.2674275327460385,0.18351627464830253,0.6404084254824203,48,4329.25,-2.5968030880669684,LOW
19053,DECATUR,-1.2235795165794385,0.20268307758885742,0.6711827851166094,48,5452.5,-2.49430878343542,LOW
19115,LOUISA,-1.1202438345489998,0.17807132992178623,0.5353115814767361,48,7961.125,-2.25276264750318,LOW
19107,KEOKUK,-0.9517022409157406,0.22725992792192015,0.5792412982064578,48,7389.25,-1.858798337343754,
19185,WAYNE,-0.9382057164465983,0.24603203777709828,0.6182682557297378,48,4641.25,-1.827250344724167,
19177,VAN BUREN,-0.9218959847030876,0.2270582356760086,0.5605724054521386,48,5328.125,-1.7891265078913492,
19071,FREMONT,-0.9168562232056111,0.17024936517983777,0.4092330340346932,48,4985.25,-1.7773461151768852,
19023,BUTLER,-0.8165375374466276,0.2512509932929447,0.563438848107979,48,10664.25,-1.5428521782254128,
19009,AUDUBON,-0.7484737477402806,0.3026544308069684,0.6323251362091787,48,4255.0,-1.3837537421631247,
19075,GRUNDY,-0.6615510126365739,0.26187314213413937,0.5011016730636968,48,9078.5,-1.1805727075348589,
19069,FRANKLIN,-0.6476292541271731,0.4013052637644714,0.751341476305092,48,7209.625,-1.1480307345468932,
19131,MITCHELL,-0.6334524489116299,0.3659711002434423,0.6703699447505053,48,7779.375,-1.114892592402829,
19001,ADAIR,-0.5182401792873393,0.4222962843224313,0.6941966009325334,48,5574.125,-0.8455850502942531,
19031,CEDAR,-0.45203767017723123,0.3753628936858207,0.5802850826705204,48,13938.625,-0.6908373392387901,
19171,TAMA,-0.44588147922783167,0.4030660644756175,0.6180378522064375,48,12273.625,-0.6764473037092382,
19099,JASPER,-0.43476276335854264,0.45440382822057934,0.6985460325344045,48,28326.875,-0.6504574152023413,
19043,CLAYTON,-0.43403633110781215,0.34712901015026826,0.5308943811316227,48,12902.75,-0.6487593869924069,
19085,HARRISON,-0.4275408929451808,0.35041651287439096,0.5329262303786974,48,10848.625,-0.6335763644532199,
19019,BUCHANAN,-0.3697099895658286,0.5235843285541054,0.7509665616304816,48,14745.125,-0.498397199093489,
19121,MADISON,-0.36705187739768946,0.460290787670135,0.6541506419889843,48,12125.5,-0.49218388815894315,
19025,CALHOUN,-0.362818437200577,0.36567515700833136,0.5179597784032918,48,7427.25,-0.4822882635187387,
19021,BUENA VISTA,-0.36002823257311456,0.7732222880191001,1.0915694174152188,48,14241.75,-0.47576618776541585,
19167,SIOUX,-0.35157739321894105,0.5411426430113836,0.7578616268989701,48,23926.25,-0.4560124342576639,
19119,LYON,-0.3405015475197805,0.6473004385114162,0.9044247836809115,48,8265.0,-0.43012275434994435,
19123,MAHASKA,-0.3298396585632385,0.566062854833605,0.7815379051468064,48,15819.625,-0.4052006942387743,
19081,HANCOCK,-0.32974331831294973,0.421878283468245,0.5714133090565169,48,8166.625,-0.404975499855433,
19095,IOWA,-0.31980473177902563,0.6075559822279551,0.8305238432099732,48,12267.625,-0.38174415201190276,
19139,MUSCATINE,-0.3074946480806428,0.6478096064126552,0.8764157326266632,48,30837.25,-0.35296945297356896,
19195,WORTH,-0.29695928926679016,0.4592749975650405,0.6132936744627255,48,5688.5,-0.32834315582099216,
19079,HAMILTON,-0.2739296218870681,0.5177278279221226,0.6698056484141522,48,11100.5,-0.2745115358222191,
19135,MONROE,-0.26223437579656117,0.45552449259795785,0.5733975815908788,48,5584.5,-0.2471740136185483,
19143,OSCEOLA,-0.25373047266226917,0.38424091785607567,0.4888304124730536,48,4519.5,-0.22729622404896627,
19037,CHICKASAW,-0.2523219821202205,0.40708814125540016,0.5150392270908869,48,8765.5,-0.22400389132087,
19197,WRIGHT,-0.22993390471000028,0.5105989510510889,0.6382349649502713,48,9187.25,-0.17167198153778412,
19049,DALLAS,-0.22148533513706667,0.7438350756153976,0.917663637393387,48,74017.375,-0.15192353362125816,
19129,MILLS,-0.21914480984123855,0.3237215742953217,0.39682693679160774,48,10768.625,-0.14645257886341936,
19151,POCAHONTAS,-0.21785245435014192,0.4123447087541355,0.49861075969070795,48,5230.0,-0.14343171066966948,
19179,WAPELLO,-0.2164041355362387,0.7109556102938405,0.8802702266129198,48,25448.625,-0.14004627974956152,
19011,BENTON,-0.21101581041466597,0.4300459638646565,0.529509137420477,48,18948.125,-0.12745112300710032,
19087,HENRY,-0.20620408180892955,0.5523678054563544,0.6718126047105827,48,15091.5,-0.1162037549244287,
19159,RINGGOLD,-0.17966747416768278,0.36761006147951886,0.428950038923468,48,3425.375,-0.054174696708071006,
